Author,Title,Source,URL,Category,Description,Published Status
"Ceban F, Nogo D, Carvalho IP, et al.","Association Between Mood Disorders and Risk of COVID-19 Infection, Hospitalization, and Death: A Systematic Review and Meta-analysis",JAMA Psychiatry,https://pubmed.ncbi.nlm.nih.gov/34319365/,,"To assess whether preexisting mood disorders are associated with a higher risk of COVID-19 susceptibility, hospitalization, severe complications, and death.",published
"Mohsenpour A, Bozorgmehr K, Rohleder S, et al.","SARS-Cov-2 prevalence, transmission, health-related outcomes and control strategies in homeless shelters: Systematic review and meta-analysis",EClinicalMedicine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8298932/,,"To review the evidence on SARS-Cov-2 infection, transmission, outcomes of disease, effects of non-pharmaceutical interventions (NPI), and the effectiveness of strategies for infection prevention and control (IPC).",published
"Zinellu A, Paliogiannis P, Carru C, et al.",INR and COVID-19 severity and mortality: A systematic review with meta-analysis and meta-regression,Adv Med Sci,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8292100/,,To review the evidence on the international normalized ratio (INR)  in COVID-19.,published
"Wu Q, Dudley MZ, Chen X, et al.",Evaluation of the safety profile of COVID-19 vaccines: a rapid review,BMC Med,https://pubmed.ncbi.nlm.nih.gov/34315454/,,To provide comprehensive overview of the safety profile of COVID-19 vaccines by using meta-analysis technique.,published
"Nagraj S, Karia R, Hassanain S, et al.",Role of Invasive Mechanical Ventilation and ECMO in the Management of COVID-19: A Systematic Review,Indian J Crit Care Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8286391/,,To provide insight into the outcome of extracorporeal membrane oxygenation (ECMO) and invasive mechanical ventilation use in critically ill COVID-19 patients.,published
Shenoy S,"SARS-CoV-2 (COVID-19), viral load and clinical outcomes; lessons learned one year into the pandemic: A systematic review",World J Crit Care Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8291003/,,To identify whether quantitative SARS-CoV-2 viral load assay correlates with clinical outcome in COVID-19 infections.,published
"de Candia P, Prattichizzo F, Garavelli S, et al.",Effect of time and titer in convalescent plasma therapy for COVID-19,iScience,https://pubmed.ncbi.nlm.nih.gov/34316549/,,To examine the effect of convalescent plasma in patients with COVID-19.,published
"Tobaiqy M, Qashqary M, Al-Dahery S, et al.",Therapeutic management of patients with COVID-19: a systematic review,Infection Prevention in Practice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7162768/,,To report any evidence of therapeutics used for the management of patients with COVID-19 in clinical practice since emergence of the virus.,published
"Lin C, Lin Y",Anxiety and depression of general population in the early phase of COVID-19 pandemic: A systematic review of cross-sectional studies,Arch Clin Psychiatry,https://www.archivespsy.com/article/47-6/anxiety-and-depression-of-general-population-in-the-early-phase-of-covid-19-pandemic-a-systematic-review-of-cross-sectional-studies/,,"To synthesize the evidence of correlation between demographic factors, social media exposure, stressors and anxiety and depression status in the early phase of COVID-19.",published
"Zhu Y, Xing W, Wang H, et al.",Characteristics of patients with ST-segment elevated myocardial infarction (STEMI) at the initial stage of the COVID-19 pandemic: a systematic review and meta-analysis,Infect Dis,https://pubmed.ncbi.nlm.nih.gov/34311652/,,To analyze the differences of the baseline characteristics and therapeutic features between STEMI patients admitted before and after the start of the COVID-19 pandemic.,published
"Belluco S, Mancin M, Marzoli F, et al.",Prevalence of SARS-CoV-2 RNA on inanimate surfaces: a systematic review and meta-analysis,Eur J Epidemiol,https://pubmed.ncbi.nlm.nih.gov/34313896/,,"To estimate SARS-CoV-2 prevalence on inanimate surfaces, identifying risk levels according to surface characteristics.",published
"Azab MA, Hasaneen SF, Hanifa H, et al.",Optic neuritis post-COVID-19 infection. A case report with meta-analysis,Interdiscip Neurosurg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8295047/,,"To report a case manifested as post-COVID-19 optic neuritis, in addition to make a quantitative analysis (meta-analysis) for the published similar case reports around the world.",published
"Bazyar J, Chehreh R, Sadeghifar J, et al. ",Effects of the COVID-19 Pandemic on the Intimate Partner Violence and Sexual Function: A Systematic Review,Prehosp Disaster Med,https://pubmed.ncbi.nlm.nih.gov/34311800/,,To review the evidence on the effect of the SARS-CoV-2 pandemic on sexual function and domestic violence in the world.,published
"Brabicoski CV, Floriano LMS, Skupien SV, et al.",Current mental health care practices in the context of Covid-19: an integrative review [Portuguese],Braz J Dev,https://academic.microsoft.com/paper/3118774544/related,,To review the evidence on the impact of the COVID-19 pandemic on mental health and strategies to cope at the university level.,published
"Pacheco F, Sobral M, Guiomar R, et al.",Breastfeeding during COVID-19: A Narrative Review of the Psychological Impact on Mothers,Syst Res Behav Sci,https://www.mdpi.com/2076-328X/11/3/34,,To review evidence regarding the impact of COVID-19 on breastfeeding plans and how these relate to women's psychological outcomes.,published
"Akinbi A, Forshaw M, Blinkhorn V",Contact tracing apps for the COVID-19 pandemic: a systematic literature review of challenges and future directions for neo-liberal societies,Health Info Sci,https://link.springer.com/article/10.1007%2Fs13755-021-00147-7,,To review the evidence on the current challenges and application of contact tracing apps in the fght against the COVID-19 pandemic.,published
"Limongi JE, de Oliviera SV",COVID-19 and the One Health approach: a systematic review [Portuguese],Vigilância Sanitária em Debate,https://visaemdebate.incqs.fiocruz.br/index.php/visaemdebate/article/view/1610,,To conduct a systematic review of the literature on the application of the concepts of One Health in the current pandemic context of COVID-19.,published
"Clark R, Palmer J, Pearce-Smith N, et al.",Face coverings in the community and COVID-19: A rapid review,Public Health England,https://phe.koha-ptfs.co.uk/cgi-bin/koha/opac-retrieve-file.pl?id=d86880bf65bd6b18eae21aa3bdaf2a4b,,"To identify and assess direct evidence from the COVID-19 outbreak on the effectiveness of face coverings when used in the community, and the efficacy of different types of face coverings.",published
"Orsini MA, do Nascimento JSF, Azizi M, et al.",Insomnia During the COVID-19 Outbreak in Brazil [Portuguese],Revista de Saúde ,https://doi.org/10.21727/RS.V11I1.2336,,"To review the evidence on the effects of the pandemic on sleep disorders, with insomnia being the most related. ",published
"Popp M, Stegemann M, Metzendorf M, et al.",Ivermectin for preventing and treating COVID?19,Cochrane Database Syst Rev,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015017.pub2/full,,"To assess the efficacy and safety of ivermectin compared to no treatment, standard of care, placebo, or any other proven intervention for people with COVID?19 receiving treatment as inpatients or outpatients, and for prevention of an infection with SARS?CoV?2 (postexposure prophylaxis).",published
"Ansari S, Chrantimath S","Clinical features, radiographic features, predisposing factors and mortality rate of COVID-19 associated rhinomaxillary mucormycosis: a systematic review",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=264457,,,development
"Rajakumar S, Shamsuddin N, Nuri HZ",Effectiveness of mRNA and recombinant adenovirus vector vaccine against different variants of COVID-19: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269369,,,development
"Tilby M, Lennard L, Starkey T",Efficacy of COVID-19 vaccination in adult patients with cancer: a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=270420,,,development
"Ezezika O, Girmay B, Mengistu M, et al ",Examining the health impact of COVID-19 among black communities in Canada: a systematic review protocol,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268624,,,development
"Pitaloka CP, Pakpahan C, Sulistyowati M, et al ",Prevalence and anxiety risk factors among pregnant women during the COVID-19 pandemic: a rapid systematic review with meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=270107,,,development
"Ho E, Cong TX, YanHong D",Psychological outcomes of COVID-19 among healthcare workers: an overview of systematic reviews protocol,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=270271,,,development
"Liang M, Sun Y ",The Effect of Temperature on Traffic Accidents Injuries: A Systematic Review and Meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=264660,,,development
"Oliaei S, Ahmed S, Alinaghi S, et al ",The effects of hyperbaric oxygen therapy (HBOT) on coronavirus disease-2019 (COVID-19): a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269821,,,development
"Fond G, Nemani K, Etchecopar-Etchart D, et al. ",Association Between Mental Health Disorders and Mortality Among Patients With COVID-19 in 7 Countries: A Systematic Review and Meta-analysis,JAMA Psychiatry,https://pubmed.ncbi.nlm.nih.gov/34313711/,,To determine whether patients with mental health disorders were at increased risk of COVID-19 mortality compared with patients without mental health disorders.,published
"Raoofi S, Pashazadeh Kan F, Rafiei S, et al.",Anxiety during the COVID-19 pandemic in hospital staff: systematic review plus meta-analysis,BMJ Support Palliat Care,https://pubmed.ncbi.nlm.nih.gov/34312187/,,To systematically review the existing literature examining the prevalence of anxiety among hospital staff and identifying the contributing factors to address the complications of this disorder.,published
"Mao J, Gao X, Yan P, et al.",Impact of the COVID-19 pandemic on the mental health and learning of college and university students: a protocol of systematic review and meta-analysis,BMJ Open,https://pubmed.ncbi.nlm.nih.gov/34312195/,,,development
